========== 会话开始 2026-07-23 10:08:05.319 ==========
INFO | 日志文件 | D:\Qt\project\opencv\build\Desktop_Qt_6_7_3_MSVC2019_64bit_Debug\debug\logs\app_20260723.log
INFO | 应用 | 图像处理工具 1.0.0
10:11:45.786 | INFO | 流水线结束 | total=250 ms steps=[二值化处理(40ms) -> 滤波处理(64ms) -> 灰度共生矩阵(142ms)]
10:11:45.788 | INFO | 处理完成 | elapsed=250 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:46.604 | INFO | 块参数变化 | 灰度共生矩阵
10:11:46.606 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:46.648 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:46.714 | INFO | 执行处理块 | name=滤波处理 elapsed=65 ms rois=0
10:11:46.869 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=152 ms rois=0
10:11:46.871 | INFO | 流水线结束 | total=263 ms steps=[二值化处理(40ms) -> 滤波处理(65ms) -> 灰度共生矩阵(152ms)]
10:11:46.874 | INFO | 处理完成 | elapsed=263 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:47.303 | INFO | 块参数变化 | 灰度共生矩阵
10:11:47.303 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:47.346 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:47.421 | INFO | 执行处理块 | name=滤波处理 elapsed=72 ms rois=0
10:11:47.560 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=138 ms rois=0
10:11:47.560 | INFO | 流水线结束 | total=256 ms steps=[二值化处理(40ms) -> 滤波处理(72ms) -> 灰度共生矩阵(138ms)]
10:11:47.562 | INFO | 处理完成 | elapsed=256 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:47.609 | INFO | 块参数变化 | 灰度共生矩阵
10:11:47.609 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:47.648 | INFO | 执行处理块 | name=二值化处理 elapsed=37 ms rois=0
10:11:47.709 | INFO | 执行处理块 | name=滤波处理 elapsed=59 ms rois=0
10:11:47.846 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=136 ms rois=0
10:11:47.848 | INFO | 流水线结束 | total=236 ms steps=[二值化处理(37ms) -> 滤波处理(59ms) -> 灰度共生矩阵(136ms)]
10:11:47.849 | INFO | 处理完成 | elapsed=236 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:48.029 | INFO | 块参数变化 | 灰度共生矩阵
10:11:48.031 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:48.079 | INFO | 执行处理块 | name=二值化处理 elapsed=46 ms rois=0
10:11:48.158 | INFO | 执行处理块 | name=滤波处理 elapsed=77 ms rois=0
10:11:48.304 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=145 ms rois=0
10:11:48.306 | INFO | 流水线结束 | total=273 ms steps=[二值化处理(46ms) -> 滤波处理(77ms) -> 灰度共生矩阵(145ms)]
10:11:48.308 | INFO | 处理完成 | elapsed=273 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:48.468 | INFO | 块参数变化 | 灰度共生矩阵
10:11:48.468 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:48.509 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:48.578 | INFO | 执行处理块 | name=滤波处理 elapsed=66 ms rois=0
10:11:48.735 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=155 ms rois=0
10:11:48.736 | INFO | 流水线结束 | total=266 ms steps=[二值化处理(40ms) -> 滤波处理(66ms) -> 灰度共生矩阵(155ms)]
10:11:48.739 | INFO | 处理完成 | elapsed=266 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:49.419 | INFO | 块参数变化 | 灰度共生矩阵
10:11:49.421 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:49.461 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:49.529 | INFO | 执行处理块 | name=滤波处理 elapsed=65 ms rois=0
10:11:49.691 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=161 ms rois=0
10:11:49.692 | INFO | 流水线结束 | total=271 ms steps=[二值化处理(40ms) -> 滤波处理(65ms) -> 灰度共生矩阵(161ms)]
10:11:49.696 | INFO | 处理完成 | elapsed=271 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:50.605 | INFO | 块参数变化 | 灰度共生矩阵
10:11:50.606 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:50.646 | INFO | 执行处理块 | name=二值化处理 elapsed=37 ms rois=0
10:11:50.718 | INFO | 执行处理块 | name=滤波处理 elapsed=70 ms rois=0
10:11:50.872 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=153 ms rois=0
10:11:50.874 | INFO | 流水线结束 | total=265 ms steps=[二值化处理(37ms) -> 滤波处理(70ms) -> 灰度共生矩阵(153ms)]
10:11:50.876 | INFO | 处理完成 | elapsed=265 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:59.946 | INFO | 撤销快照 | reason=删除处理块 depth=7
10:11:59.947 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=2 enabled=2 rois=0 chain=[滤波处理 -> 灰度共生矩阵]
10:12:00.042 | INFO | 执行处理块 | name=滤波处理 elapsed=92 ms rois=0
10:12:00.211 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=166 ms rois=0
10:12:00.212 | INFO | 流水线结束 | total=263 ms steps=[滤波处理(92ms) -> 灰度共生矩阵(166ms)]
10:12:00.215 | INFO | 处理完成 | elapsed=263 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:00.216 | INFO | 删除处理块 | name=二值化处理 remain=2
10:12:01.289 | INFO | 撤销快照 | reason=删除处理块 depth=8
10:12:01.290 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[灰度共生矩阵]
10:12:01.481 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=189 ms rois=0
10:12:01.482 | INFO | 流水线结束 | total=191 ms steps=[灰度共生矩阵(189ms)]
10:12:01.486 | INFO | 处理完成 | elapsed=191 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:01.486 | INFO | 删除处理块 | name=滤波处理 remain=1
10:12:20.401 | INFO | 撤销快照 | reason=添加矩形ROI depth=9
10:12:20.403 | INFO | 添加ROI | type=rect center=(533,530.5) size=100x100 total=1
10:12:20.468 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:20.496 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=26 ms rois=1
10:12:20.498 | INFO | 流水线结束 | total=28 ms steps=[灰度共生矩阵(26ms)]
10:12:20.498 | INFO | 处理完成 | elapsed=28 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:22.634 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:22.681 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=45 ms rois=1
10:12:22.683 | INFO | 流水线结束 | total=47 ms steps=[灰度共生矩阵(45ms)]
10:12:22.686 | INFO | 处理完成 | elapsed=47 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:23.406 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:23.444 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=37 ms rois=1
10:12:23.446 | INFO | 流水线结束 | total=38 ms steps=[灰度共生矩阵(37ms)]
10:12:23.447 | INFO | 处理完成 | elapsed=38 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:24.822 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:24.866 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=40 ms rois=1
10:12:24.867 | INFO | 流水线结束 | total=41 ms steps=[灰度共生矩阵(40ms)]
10:12:24.867 | INFO | 处理完成 | elapsed=41 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:25.344 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:25.366 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=20 ms rois=1
10:12:25.368 | INFO | 流水线结束 | total=22 ms steps=[灰度共生矩阵(20ms)]
10:12:25.369 | INFO | 处理完成 | elapsed=22 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:25.669 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:25.695 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=24 ms rois=1
10:12:25.697 | INFO | 流水线结束 | total=26 ms steps=[灰度共生矩阵(24ms)]
10:12:25.697 | INFO | 处理完成 | elapsed=26 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:25.937 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:25.964 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=25 ms rois=1
10:12:25.966 | INFO | 流水线结束 | total=26 ms steps=[灰度共生矩阵(25ms)]
10:12:25.967 | INFO | 处理完成 | elapsed=26 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:26.196 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:26.216 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=17 ms rois=1
10:12:26.217 | INFO | 流水线结束 | total=18 ms steps=[灰度共生矩阵(17ms)]
10:12:26.217 | INFO | 处理完成 | elapsed=18 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:27.175 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:27.194 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=16 ms rois=1
10:12:27.194 | INFO | 流水线结束 | total=17 ms steps=[灰度共生矩阵(16ms)]
10:12:27.195 | INFO | 处理完成 | elapsed=17 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:28.636 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:28.664 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=26 ms rois=1
10:12:28.666 | INFO | 流水线结束 | total=28 ms steps=[灰度共生矩阵(26ms)]
10:12:28.668 | INFO | 处理完成 | elapsed=28 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:29.439 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:29.457 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=16 ms rois=1
10:12:29.457 | INFO | 流水线结束 | total=17 ms steps=[灰度共生矩阵(16ms)]
10:12:29.459 | INFO | 处理完成 | elapsed=17 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:29.811 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:29.838 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=24 ms rois=1
10:12:29.838 | INFO | 流水线结束 | total=25 ms steps=[灰度共生矩阵(24ms)]
10:12:29.839 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:30.246 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:30.265 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=17 ms rois=1
10:12:30.266 | INFO | 流水线结束 | total=19 ms steps=[灰度共生矩阵(17ms)]
10:12:30.268 | INFO | 处理完成 | elapsed=19 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:36.167 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:36.193 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=24 ms rois=1
10:12:36.194 | INFO | 流水线结束 | total=26 ms steps=[灰度共生矩阵(24ms)]
10:12:36.196 | INFO | 处理完成 | elapsed=26 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:36.354 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:36.381 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=24 ms rois=1
10:12:36.382 | INFO | 流水线结束 | total=25 ms steps=[灰度共生矩阵(24ms)]
10:12:36.383 | INFO | 处理完成 | elapsed=25 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:37.137 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
10:12:37.163 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=23 ms rois=1
10:12:37.166 | INFO | 流水线结束 | total=27 ms steps=[灰度共生矩阵(23ms)]
10:12:37.167 | INFO | 处理完成 | elapsed=27 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:12:37.446 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=1 chain=[灰度共生矩阵]
