========== 会话开始 2026-08-03 11:42:56.040 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_114256.log
INFO | 应用 | 图像处理工具 1.0.0
11:43:36.481 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:36.496 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:36.497 | INFO | 恢复会话 | blocks=1 rois=0
11:43:36.497 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/basketball1.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:36.503 | INFO | 执行处理块 | name=二值化处理 elapsed=5 ms rois=0
11:43:36.504 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(5ms)]
11:43:36.504 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/basketball1.png result=640x480
11:43:36.505 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/basketball1.png size=640x480 prev=D:/opencv/opencv/sources/samples/data/baboon.jpg session=强制模板 blocks=1 rois=0
11:43:37.016 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/basketball1.png blocks=1 rois=0
11:43:37.019 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:37.035 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:37.036 | INFO | 恢复会话 | blocks=1 rois=0
11:43:37.036 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/basketball2.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:37.043 | INFO | 执行处理块 | name=二值化处理 elapsed=6 ms rois=0
11:43:37.044 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(6ms)]
11:43:37.044 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/basketball2.png result=640x480
11:43:37.045 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/basketball2.png size=640x480 prev=D:/opencv/opencv/sources/samples/data/basketball1.png session=强制模板 blocks=1 rois=0
11:43:37.550 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/basketball2.png blocks=1 rois=0
11:43:37.551 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:37.568 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:37.568 | INFO | 恢复会话 | blocks=1 rois=0
11:43:37.569 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/blox.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:37.573 | INFO | 执行处理块 | name=二值化处理 elapsed=2 ms rois=0
11:43:37.573 | INFO | 流水线结束 | total=3 ms steps=[二值化处理(2ms)]
11:43:37.573 | INFO | 处理完成 | elapsed=3 ms path=D:/opencv/opencv/sources/samples/data/blox.jpg result=256x256
11:43:37.574 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/blox.jpg size=256x256 prev=D:/opencv/opencv/sources/samples/data/basketball2.png session=强制模板 blocks=1 rois=0
11:43:38.086 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/blox.jpg blocks=1 rois=0
11:43:38.087 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:38.103 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:38.103 | INFO | 恢复会话 | blocks=1 rois=0
11:43:38.104 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/board.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:38.111 | INFO | 执行处理块 | name=二值化处理 elapsed=5 ms rois=0
11:43:38.111 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(5ms)]
11:43:38.112 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/board.jpg result=640x480
11:43:38.113 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/board.jpg size=640x480 prev=D:/opencv/opencv/sources/samples/data/blox.jpg session=强制模板 blocks=1 rois=0
11:43:38.619 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/board.jpg blocks=1 rois=0
11:43:38.620 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:38.636 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:38.637 | INFO | 恢复会话 | blocks=1 rois=0
11:43:38.637 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/box.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:38.640 | INFO | 执行处理块 | name=二值化处理 elapsed=3 ms rois=0
11:43:38.641 | INFO | 流水线结束 | total=3 ms steps=[二值化处理(3ms)]
11:43:38.641 | INFO | 处理完成 | elapsed=3 ms path=D:/opencv/opencv/sources/samples/data/box.png result=324x223
11:43:38.642 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/box.png size=324x223 prev=D:/opencv/opencv/sources/samples/data/board.jpg session=强制模板 blocks=1 rois=0
11:43:39.150 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/box.png blocks=1 rois=0
11:43:39.152 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:39.169 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:39.169 | INFO | 恢复会话 | blocks=1 rois=0
11:43:39.170 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/box_in_scene.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:39.174 | INFO | 执行处理块 | name=二值化处理 elapsed=4 ms rois=0
11:43:39.174 | INFO | 流水线结束 | total=4 ms steps=[二值化处理(4ms)]
11:43:39.175 | INFO | 处理完成 | elapsed=4 ms path=D:/opencv/opencv/sources/samples/data/box_in_scene.png result=512x384
11:43:39.176 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/box_in_scene.png size=512x384 prev=D:/opencv/opencv/sources/samples/data/box.png session=强制模板 blocks=1 rois=0
11:43:39.689 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/box_in_scene.png blocks=1 rois=0
11:43:39.692 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:39.707 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:39.708 | INFO | 恢复会话 | blocks=1 rois=0
11:43:39.708 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/building.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:39.719 | INFO | 执行处理块 | name=二值化处理 elapsed=10 ms rois=0
11:43:39.719 | INFO | 流水线结束 | total=11 ms steps=[二值化处理(10ms)]
11:43:39.720 | INFO | 处理完成 | elapsed=11 ms path=D:/opencv/opencv/sources/samples/data/building.jpg result=868x600
11:43:39.721 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/building.jpg size=868x600 prev=D:/opencv/opencv/sources/samples/data/box_in_scene.png session=强制模板 blocks=1 rois=0
11:43:40.229 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/building.jpg blocks=1 rois=0
11:43:40.232 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:40.247 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:40.247 | INFO | 恢复会话 | blocks=1 rois=0
11:43:40.248 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/butterfly.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:40.253 | INFO | 执行处理块 | name=二值化处理 elapsed=4 ms rois=0
11:43:40.253 | INFO | 流水线结束 | total=4 ms steps=[二值化处理(4ms)]
11:43:40.254 | INFO | 处理完成 | elapsed=4 ms path=D:/opencv/opencv/sources/samples/data/butterfly.jpg result=493x356
11:43:40.254 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/butterfly.jpg size=493x356 prev=D:/opencv/opencv/sources/samples/data/building.jpg session=强制模板 blocks=1 rois=0
11:43:40.768 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/butterfly.jpg blocks=1 rois=0
11:43:40.770 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:40.787 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:40.787 | INFO | 恢复会话 | blocks=1 rois=0
11:43:40.788 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/cards.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
